time,count,top_words
Sat Sep 08 11:00:00 UTC 2012,41,someone=3
Sat Sep 08 12:00:00 UTC 2012,36,developer=2_idea=2_center=2_shopping=2_stuff=2
Sat Sep 08 13:00:00 UTC 2012,46,outfitters=3_said=3_urban=3_usc=3
Sat Sep 08 14:00:00 UTC 2012,45,arts=3_center=3
Sat Sep 08 15:00:00 UTC 2012,33,stanford=5
Sat Sep 08 16:00:00 UTC 2012,59,stanford=10
Sat Sep 08 17:00:00 UTC 2012,55,ucla=6
Sat Sep 08 18:00:00 UTC 2012,51,stanford=15
Sat Sep 08 19:00:00 UTC 2012,86,stanford=37
Sat Sep 08 20:00:00 UTC 2012,88,stanford=33
Sat Sep 08 21:00:00 UTC 2012,75,stanford=31
Sat Sep 08 22:00:00 UTC 2012,55,stanford=16
Sat Sep 08 23:00:00 UTC 2012,52,stanford=9
Sun Sep 09 00:00:00 UTC 2012,32,stanford=5
Sun Sep 09 01:00:00 UTC 2012,13,half=2_Громче=2
Sun Sep 09 02:00:00 UTC 2012,20,рукоодители=2_кино=2_tomorrow=2_ever=2_nuthouse=2
Sun Sep 09 03:00:00 UTC 2012,15,что=2_kzsu=2_stanford=2
Sun Sep 09 04:00:00 UTC 2012,2,net=3
Sun Sep 09 05:00:00 UTC 2012,1,""
Sun Sep 09 06:00:00 UTC 2012,5,""
Sun Sep 09 07:00:00 UTC 2012,9,iphone=9
Sun Sep 09 08:00:00 UTC 2012,32,woke=2_gate=2_golden=2_cybercoders=2_jobs=2
Sun Sep 09 09:00:00 UTC 2012,25,church=4
Sun Sep 09 10:00:00 UTC 2012,23,googleplex=3_google=3_football=3_siliconvalley=3_goose=3
Sun Sep 09 11:00:00 UTC 2012,32,justin=7
Sun Sep 09 12:00:00 UTC 2012,61,justin=10
Sun Sep 09 13:00:00 UTC 2012,28,caltrain=3
Sun Sep 09 14:00:00 UTC 2012,87,¿mi=6
Sun Sep 09 15:00:00 UTC 2012,89,justin=7
Sun Sep 09 16:00:00 UTC 2012,88,justin=7
Sun Sep 09 17:00:00 UTC 2012,86,fredotwitterparty=14
Sun Sep 09 18:00:00 UTC 2012,89,shoreline=12
Sun Sep 09 19:00:00 UTC 2012,68,shoreline=25
Sun Sep 09 20:00:00 UTC 2012,86,shoreline=11
Sun Sep 09 21:00:00 UTC 2012,80,justin=13
Sun Sep 09 22:00:00 UTC 2012,57,dave=4_shoreline=4
Sun Sep 09 23:00:00 UTC 2012,75,shoreline=9
