time,count,top_words
Sun Sep 09 14:00:00 UTC 2012,973,49ers=20
Sun Sep 09 15:00:00 UTC 2012,1207,49ers=33
Sun Sep 09 16:00:00 UTC 2012,1266,49ers=34
Sun Sep 09 17:00:00 UTC 2012,1361,giants=32
Sun Sep 09 18:00:00 UTC 2012,1398,tengo=29
Sun Sep 09 19:00:00 UTC 2012,1214,esta=25
Sun Sep 09 20:00:00 UTC 2012,1101,beatla=19
Sun Sep 09 21:00:00 UTC 2012,1018,mañana=20
Sun Sep 09 22:00:00 UTC 2012,752,tuiteocomohombre=15
Sun Sep 09 23:00:00 UTC 2012,515,covenant=13
