_id,text,lat,lon,user,created_at,id
502d30918aef427b5200173b,spontaner und unangekündigter besuch von zu hause - und am wochenende kommt auch noch meine schwester vorbei. i like!,52.477313,13.35714925,tokoo,Thu Aug 16 17:40:34 UTC 2012,236155503397445632
502d377a8aef427b520017a2,I need a new life. A new beginning with new objectives, new people and new love.,52.4544693,13.3187335,rawrrrnn,Thu Aug 16 18:10:03 UTC 2012,236162925180620801
502d38218aef427b520017b5,@markbate @sandyinberlin Ah yes, I heard something about this. I might pop in. Might as in definitely.,52.54754564,13.42032242,davidoa,Thu Aug 16 18:12:50 UTC 2012,236163625201569792
502d3bbf8aef427b520017f7,How do you think I feel when you call my name? You got me confused by the way I change.,52.50781346,13.40715332,RyGarn,Thu Aug 16 18:28:16 UTC 2012,236167509651374080
502d3e228aef427b5200181d,dont we all "@CEECEE___7: i want some chicken",52.4937514,13.30350756,TheaFweezySnkrs,Thu Aug 16 18:38:27 UTC 2012,236170071922327552
502d3e938aef427b52001828,@claudiapaglia I really loves my stay there! One night was not enough. :),52.53143006,13.43301248,cdngrrleh,Thu Aug 16 18:40:21 UTC 2012,236170547594133504
502d3f9d8aef427b52001838,@JeffTitelius I can be an be an evil influence sometimes! I made someone crave McDonalds recently too.,52.53143427,13.4330578,cherrysberries,Thu Aug 16 18:44:47 UTC 2012,236171663274803201
502d3fe98aef427b5200183d,@avdflight I personally like both. ;),52.53150153,13.4330485,cherrysberries,Thu Aug 16 18:46:02 UTC 2012,236171980594896896
502d41a98aef427b52001853,@nearafar it would be cool if I could make it to a TO travel massive too!,52.53186035,13.43297406,cherrysberries,Thu Aug 16 18:53:30 UTC 2012,236173860125417472
502d427e8aef427b52001860,love that you love it. I miss you. Can we see eachother soon? @christohfur,52.52841887,13.33688435,jacobrosati,Thu Aug 16 18:57:03 UTC 2012,236174754065838080
502d43a48aef427b5200186a,@nearafar You'll catch up with time. It's so hard. I am soooo behind in posts that it's embarrassing ... :(,52.5314708,13.43304491,cherrysberries,Thu Aug 16 19:01:57 UTC 2012,236175985446359041
502d43c48aef427b5200186c,I remember every word you said that we will never gonna say goodbye,52.50995616,13.40556155,danisponholz_,Thu Aug 16 19:02:29 UTC 2012,236176118892347392
502d45d08aef427b52001882,I wanna turn this whole thing upside down,52.50996513,13.40557591,danisponholz_,Thu Aug 16 19:11:13 UTC 2012,236178318490218496
502d4a508aef427b520018c3,I am a jelly-filled doughnut.,52.53528426,13.41168347,sferik,Thu Aug 16 19:30:25 UTC 2012,236183147384025088
502d4b378aef427b520018cd,I swear it's coming from our bed. It's the only place that smells like it. #whattheactualfuck #confused,52.48788876,13.37598356,TwoLostSoulsx4,Thu Aug 16 19:34:16 UTC 2012,236184116276637696
502d4bc88aef427b520018d3,@BrianG416 it's possible! I'll look into it. :),52.52988088,13.43043669,cherrysberries,Thu Aug 16 19:36:41 UTC 2012,236184725058895872
502d4cba8aef427b520018e4,@Avalanche1979 wanna know the worst thing, I was doing it with @stefan_verhoeff, just like the old days...,52.53422947,13.38554891,luizsoarez,Thu Aug 16 19:40:43 UTC 2012,236185742110498816
