time,count,fsq_count,CategorieParents,Categories
Fri Sep 07 04:00:00 UTC 2012,722,9,Travel & Transport=6,Airport=2_Building=2_Train Station=2
Fri Sep 07 05:00:00 UTC 2012,468,10,Travel & Transport=5,Airport Terminal=2_Train Station=2
Fri Sep 07 06:00:00 UTC 2012,711,28,Travel & Transport=17,Train Station=6
Fri Sep 07 07:00:00 UTC 2012,1658,67,Travel & Transport=34,Train Station=14
Fri Sep 07 08:00:00 UTC 2012,2361,104,Travel & Transport=36,Office=11_Train Station=11
Fri Sep 07 09:00:00 UTC 2012,2428,129,Travel & Transport=40,Office=19
Fri Sep 07 10:00:00 UTC 2012,2767,102,Professional & Other Places=21,Office=10
Fri Sep 07 11:00:00 UTC 2012,2927,103,Travel & Transport=29,Train Station=11
Fri Sep 07 12:00:00 UTC 2012,2959,155,Food=39,Train Station=8
Fri Sep 07 13:00:00 UTC 2012,3162,155,Food=41,Pub=11
Fri Sep 07 14:00:00 UTC 2012,3065,137,Food=32,Department Store=6_Sandwich Place=6_Train Station=6
Fri Sep 07 15:00:00 UTC 2012,3147,124,Food=25,Train Station=11
Fri Sep 07 16:00:00 UTC 2012,3364,119,Travel & Transport=28,Train Station=11
Fri Sep 07 17:00:00 UTC 2012,3370,146,Nightlife Spots=27_Travel & Transport=27,Pub=16
Fri Sep 07 18:00:00 UTC 2012,3173,159,Arts & Entertainment=41,Stadium=19
Fri Sep 07 19:00:00 UTC 2012,3783,169,Food=34,Pub=19
Fri Sep 07 20:00:00 UTC 2012,3153,104,Food=31,Pub=8
Fri Sep 07 21:00:00 UTC 2012,4414,115,Food=35,Pub=19
Fri Sep 07 22:00:00 UTC 2012,4020,82,Nightlife Spots=22,Pub=10
Fri Sep 07 23:00:00 UTC 2012,3368,54,Travel & Transport=13,Train Station=5_Bar=5
Sat Sep 08 00:00:00 UTC 2012,2185,37,Nightlife Spots=9,Hotel=5
Sat Sep 08 01:00:00 UTC 2012,1637,11,Food=4,Pub=2
Sat Sep 08 02:00:00 UTC 2012,1167,8,Outdoors & Recreation=2_Nightlife Spots=2_Travel & Transport=2,Neighborhood=2
Sat Sep 08 03:00:00 UTC 2012,989,7,Nightlife Spots=3,Pub=2
Sat Sep 08 04:00:00 UTC 2012,775,2,Professional & Other Places=1,Office=1
Sat Sep 08 05:00:00 UTC 2012,591,16,Travel & Transport=9,Train Station=4
Sat Sep 08 06:00:00 UTC 2012,536,19,Travel & Transport=13,Train Station=4
Sat Sep 08 07:00:00 UTC 2012,826,31,Travel & Transport=18,Train Station=5
Sat Sep 08 08:00:00 UTC 2012,1574,68,Travel & Transport=22,Train Station=9
Sat Sep 08 09:00:00 UTC 2012,2217,111,Travel & Transport=36,Train Station=17
