time,count,red,green,blue
Sat Sep 08 20:00:00 UTC 2012,13,69,53,78
Sat Sep 08 21:00:00 UTC 2012,7,82,58,68
Sat Sep 08 22:00:00 UTC 2012,9,55,39,62
Sat Sep 08 23:00:00 UTC 2012,13,71,51,71
Sun Sep 09 00:00:00 UTC 2012,18,131,87,116
Sun Sep 09 01:00:00 UTC 2012,7,63,51,71
Sun Sep 09 02:00:00 UTC 2012,3,26,10,26
Sun Sep 09 03:00:00 UTC 2012,15,49,32,41
Sun Sep 09 04:00:00 UTC 2012,5,24,18,28
Sun Sep 09 05:00:00 UTC 2012,0,-,-,-
Sun Sep 09 06:00:00 UTC 2012,2,18,13,10
Sun Sep 09 07:00:00 UTC 2012,1,50,47,67
Sun Sep 09 08:00:00 UTC 2012,3,91,52,47
Sun Sep 09 09:00:00 UTC 2012,7,68,57,77
Sun Sep 09 10:00:00 UTC 2012,17,198,193,189
Sun Sep 09 11:00:00 UTC 2012,13,83,72,70
Sun Sep 09 12:00:00 UTC 2012,15,50,35,47
Sun Sep 09 13:00:00 UTC 2012,11,60,55,58
Sun Sep 09 14:00:00 UTC 2012,16,93,75,76
Sun Sep 09 15:00:00 UTC 2012,17,203,199,188
Sun Sep 09 16:00:00 UTC 2012,47,205,205,192
Sun Sep 09 17:00:00 UTC 2012,31,56,42,52
Sun Sep 09 18:00:00 UTC 2012,18,147,116,112
Sun Sep 09 19:00:00 UTC 2012,23,205,207,191
Sun Sep 09 20:00:00 UTC 2012,17,79,45,66
Sun Sep 09 21:00:00 UTC 2012,7,63,44,65
Sun Sep 09 22:00:00 UTC 2012,17,50,29,35
Sun Sep 09 23:00:00 UTC 2012,15,90,67,62
