time,count,red,green,blue
Sun Sep 09 07:00:00 UTC 2012,17,218,208,194
Sun Sep 09 08:00:00 UTC 2012,63,148,130,133
Sun Sep 09 09:00:00 UTC 2012,85,144,134,138
Sun Sep 09 10:00:00 UTC 2012,120,147,134,135
Sun Sep 09 11:00:00 UTC 2012,185,151,131,131
Sun Sep 09 12:00:00 UTC 2012,197,151,132,132
Sun Sep 09 13:00:00 UTC 2012,171,149,136,136
Sun Sep 09 14:00:00 UTC 2012,226,154,135,131
Sun Sep 09 15:00:00 UTC 2012,224,157,135,124
Sun Sep 09 16:00:00 UTC 2012,196,155,136,129
Sun Sep 09 17:00:00 UTC 2012,108,158,136,124
Sun Sep 09 18:00:00 UTC 2012,144,155,136,128
Sun Sep 09 19:00:00 UTC 2012,246,153,132,130
Sun Sep 09 20:00:00 UTC 2012,133,213,195,190
Sun Sep 09 21:00:00 UTC 2012,162,216,190,182
Sun Sep 09 22:00:00 UTC 2012,206,219,199,190
Sun Sep 09 23:00:00 UTC 2012,148,220,202,193
