time,day,hour,minute,count,top_words
Sun Sep 09 03:00:00 UTC 2012,6,3,180,1,""
Sun Sep 09 04:00:00 UTC 2012,6,4,240,0,""
Sun Sep 09 05:00:00 UTC 2012,6,5,300,0,""
Sun Sep 09 06:00:00 UTC 2012,6,6,360,1,""
Sun Sep 09 07:00:00 UTC 2012,6,7,420,1,""
Sun Sep 09 08:00:00 UTC 2012,6,8,480,9,cannoli=2
Sun Sep 09 09:00:00 UTC 2012,6,9,540,4,real=2
Sun Sep 09 10:00:00 UTC 2012,6,10,600,15,vols=2_way=2_last=2
Sun Sep 09 11:00:00 UTC 2012,6,11,660,31,box=2_eat=2_gives=2_blue=2_actually=2
Sun Sep 09 12:00:00 UTC 2012,6,12,720,12,orioles=2
Sun Sep 09 13:00:00 UTC 2012,6,13,780,30,niners=2_cool=2_football=2_business=2_take=2
Sun Sep 09 14:00:00 UTC 2012,6,14,840,16,remember=2_zooomr=2_use=2_thing=2
Sun Sep 09 15:00:00 UTC 2012,6,15,900,12,fly=3
Sun Sep 09 16:00:00 UTC 2012,6,16,960,13,photo=5
Sun Sep 09 17:00:00 UTC 2012,6,17,1020,10,b29c=2_happy=2_computer=2_work=2_antonio=2
Sun Sep 09 18:00:00 UTC 2012,6,18,1080,14,g06f=4
Sun Sep 09 19:00:00 UTC 2012,6,19,1140,14,g02b=2
Sun Sep 09 20:00:00 UTC 2012,6,20,1200,12,keira=2
Sun Sep 09 21:00:00 UTC 2012,6,21,1260,18,market=3
Sun Sep 09 22:00:00 UTC 2012,6,22,1320,12,loli=2
Sun Sep 09 23:00:00 UTC 2012,6,23,1380,4,""
