time,day,hour,minute,count,top_words
Thu Sep 06 02:00:00 UTC 2012,3,2,120,1150,people=22
Thu Sep 06 03:00:00 UTC 2012,3,3,180,778,voteonedirection=20
Thu Sep 06 04:00:00 UTC 2012,3,4,240,473,price=23
Thu Sep 06 05:00:00 UTC 2012,3,5,300,454,morning=15
Thu Sep 06 06:00:00 UTC 2012,3,6,360,651,morning=45
Thu Sep 06 07:00:00 UTC 2012,3,7,420,1419,morning=86
Thu Sep 06 08:00:00 UTC 2012,3,8,480,2227,morning=100
Thu Sep 06 09:00:00 UTC 2012,3,9,540,2439,morning=80
Thu Sep 06 10:00:00 UTC 2012,3,10,600,2515,olympic=75
Thu Sep 06 11:00:00 UTC 2012,3,11,660,3031,tweet=111_who's=111
Thu Sep 06 12:00:00 UTC 2012,3,12,720,2716,paralympics=46_olympic=46
Thu Sep 06 13:00:00 UTC 2012,3,13,780,3000,people=52_haha=52
Thu Sep 06 14:00:00 UTC 2012,3,14,840,2779,people=52
Thu Sep 06 15:00:00 UTC 2012,3,15,900,2956,work=53_think=53
Thu Sep 06 16:00:00 UTC 2012,3,16,960,3255,haha=63
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,3117,haha=69
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,3515,olympic=85
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,4014,olympic=94
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,4277,well=87
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,5143,peacock=169
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,4844,night=119
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,3462,night=92
Fri Sep 07 00:00:00 UTC 2012,4,0,0,2498,night=65
Fri Sep 07 01:00:00 UTC 2012,4,1,60,1901,vma=53
Fri Sep 07 02:00:00 UTC 2012,4,2,120,1310,proud=25_mis=25
Fri Sep 07 03:00:00 UTC 2012,4,3,180,823,não=24
Fri Sep 07 04:00:00 UTC 2012,4,4,240,722,✨⋰˚❁🌟🔱❁˚⁂=31_🔱˚⋰˚💛❁💛˚⋱❁=31_✨⋰˚🌟˚⋱🍂💛🍂⋰˚⋱˚⁂˚=31_✨ʄǫℒℒȭẁ=31_⋰˚⁂˚˚⋱🍂💛🍂⋰˚🌟✨˚⁂˚=31
Fri Sep 07 05:00:00 UTC 2012,4,5,300,468,vai=12
Fri Sep 07 06:00:00 UTC 2012,4,6,360,711,morning=41
Fri Sep 07 07:00:00 UTC 2012,4,7,420,1658,morning=81
Fri Sep 07 08:00:00 UTC 2012,4,8,480,2361,morning=107
Fri Sep 07 09:00:00 UTC 2012,4,9,540,2428,morning=81
Fri Sep 07 10:00:00 UTC 2012,4,10,600,2767,haha=57
Fri Sep 07 11:00:00 UTC 2012,4,11,660,2927,people=59_work=59_thanks=59
Fri Sep 07 12:00:00 UTC 2012,4,12,720,2959,think=49
Fri Sep 07 13:00:00 UTC 2012,4,13,780,3162,lunch=69
Fri Sep 07 14:00:00 UTC 2012,4,14,840,3065,great=52
Fri Sep 07 15:00:00 UTC 2012,4,15,900,3147,please=79
Fri Sep 07 16:00:00 UTC 2012,4,16,960,3364,win=57
Fri Sep 07 17:00:00 UTC 2012,4,17,1020,3370,haha=70
Fri Sep 07 18:00:00 UTC 2012,4,18,1080,3173,olympic=66
Fri Sep 07 19:00:00 UTC 2012,4,19,1140,3783,england=79
Fri Sep 07 20:00:00 UTC 2012,4,20,1200,3153,england=66
Fri Sep 07 21:00:00 UTC 2012,4,21,1260,4414,win=90
Fri Sep 07 22:00:00 UTC 2012,4,22,1320,4020,well=80
Fri Sep 07 23:00:00 UTC 2012,4,23,1380,3368,night=57
Sat Sep 08 00:00:00 UTC 2012,5,0,0,2185,think=43
Sat Sep 08 01:00:00 UTC 2012,5,1,60,1637,night=37
Sat Sep 08 02:00:00 UTC 2012,5,2,120,1167,please=31
Sat Sep 08 03:00:00 UTC 2012,5,3,180,989,believetourlatinoamerica=27
Sat Sep 08 04:00:00 UTC 2012,5,4,240,775,believetourlatinoamerica=34
