time,count,fsq_count,CategorieParents,Categories
Wed Sep 05 22:00:00 UTC 2012,5933,218,Nightlife Spots=55_Food=53_Clothing Stores=42,Bar=25_Pizza Place=10_Home (private)=9
Wed Sep 05 23:00:00 UTC 2012,5473,160,Shops & Services=34_Clothing Stores=30_Food=27,Bar=16_Home (private)=13_Hotel=6
Thu Sep 06 00:00:00 UTC 2012,3169,120,Food=24_Shops & Services=22_Travel & Transport=16,Bar=10_Home (private)=9_Nightclub=8
Thu Sep 06 01:00:00 UTC 2012,2085,73,Nightlife Spots=12_Food=12_Clothing Stores=9,Home (private)=7_Pizza Place=6_Rock Club=3
Thu Sep 06 02:00:00 UTC 2012,1212,62,Clothing Stores=18_Food=13_Travel & Transport=9,Train Station=3_Pizza Place=3_Office=2
Thu Sep 06 03:00:00 UTC 2012,777,54,Clothing Stores=17_Food=14_Travel & Transport=8,Pizza Place=6_Bar=4_Airport=2
Thu Sep 06 04:00:00 UTC 2012,385,29,Clothing Stores=7_Food=5_Arts & Entertainment=5,Pizza Place=5_Bowling Alley=2_Airport=2
Thu Sep 06 05:00:00 UTC 2012,356,48,Shops & Services=7_Arts & Entertainment=7_Professional & Other Places=7,Boutique=4_Art Museum=3_Gym / Fitness Center=2
Thu Sep 06 06:00:00 UTC 2012,735,99,Shops & Services=28_Clothing Stores=13_Food=11,Airport=8_Subway=7_Gym=7
Thu Sep 06 07:00:00 UTC 2012,1542,166,Shops & Services=35_Professional & Other Places=34_Food=22,Office=13_Coffee Shop=10_Gym=9
Thu Sep 06 08:00:00 UTC 2012,2087,267,Food=54_Travel & Transport=42_Colleges & Universities=30,Coffee Shop=20_Subway=13_Building=11
Thu Sep 06 09:00:00 UTC 2012,2356,259,Food=46_Shops & Services=40_Travel & Transport=33,Coffee Shop=19_Tech Startup=10_Boutique=8
Thu Sep 06 10:00:00 UTC 2012,2715,262,Food=45_Shops & Services=44_Travel & Transport=29,Coffee Shop=14_University=10_Train Station=7
Thu Sep 06 11:00:00 UTC 2012,2667,239,Professional & Other Places=47_Food=44_Arts & Entertainment=24,Coffee Shop=13_Building=8_Art Museum=8
Thu Sep 06 12:00:00 UTC 2012,2635,293,Shops & Services=48_Professional & Other Places=38_Travel & Transport=28,Coffee Shop=10_Sandwich Place=9_American Restaurant=8
Thu Sep 06 13:00:00 UTC 2012,2594,284,Shops & Services=52_Professional & Other Places=37_Colleges & Universities=24,Office=12_Coffee Shop=8_Airport=8
Thu Sep 06 14:00:00 UTC 2012,2912,254,Shops & Services=51_Professional & Other Places=44_Travel & Transport=34,Airport=11_Coffee Shop=8_Grocery Store=7
Thu Sep 06 15:00:00 UTC 2012,3283,237,Shops & Services=45_Professional & Other Places=45_Travel & Transport=26,Park=8_Airport=8_Coffee Shop=8
Thu Sep 06 16:00:00 UTC 2012,3196,241,Shops & Services=53_Travel & Transport=42_Professional & Other Places=21,Airport=8_Airport Terminal=8_Park=7
Thu Sep 06 17:00:00 UTC 2012,3416,285,Food=60_Travel & Transport=36_Professional & Other Places=30,Coffee Shop=11_Bar=10_Train Station=10
Thu Sep 06 18:00:00 UTC 2012,3668,444,Food=88_Arts & Entertainment=50_Nightlife Spots=45,Bar=16_Clothing Store=15_Department Store=13
Thu Sep 06 19:00:00 UTC 2012,4762,465,Food=95_Arts & Entertainment=84_Clothing Stores=45,Baseball Stadium=23_Boutique=21_Tennis=16
