lat,long,size,languages,user_top10,words_top10
52.3471158867796,13.6545197654425,0,"","",""
52.3471158867796,13.6655461814266,0,"","",""
52.3471158867796,13.6765725692645,0,"","",""
52.3471158867796,13.6875989284445,0,"","",""
52.3471158867796,13.6986252584553,0,"","",""
52.3471158867796,13.7096515587851,0,"","",""
52.3471158867796,13.7206778289224,0,"","",""
52.3471158867796,13.7317040683558,0,"","",""
52.3471158867796,13.7427302765736,0,"","",""
52.3538546928033,13.0700937058692,0,"","",""
52.3538546928033,13.0811208813545,0,"","",""
52.3538546928033,13.0921480558162,0,"","",""
52.3538546928033,13.1031752287423,0,"","",""
52.3538546928033,13.1142023996212,0,"","",""
52.3538546928033,13.1252295679408,0,"","",""
52.3538546928033,13.1362567331895,0,"","",""
52.3538546928033,13.1472838948553,0,"","",""
52.3538546928033,13.1583110524264,0,"","",""
