time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Wed Sep 05 07:00:00 UTC 2012,2,7,420,3,0,"","","",""
Wed Sep 05 07:30:00 UTC 2012,2,7,450,2,0,"","","",""
Wed Sep 05 08:00:00 UTC 2012,2,8,480,1,0,"","","",""
Wed Sep 05 08:30:00 UTC 2012,2,8,510,4,0,"","","",""
Wed Sep 05 09:00:00 UTC 2012,2,9,540,11,0,"","","",""
Wed Sep 05 09:30:00 UTC 2012,2,9,570,16,0,"","","",""
Wed Sep 05 10:00:00 UTC 2012,2,10,600,15,0,"","","",""
Wed Sep 05 10:30:00 UTC 2012,2,10,630,14,0,"","","",""
Wed Sep 05 11:00:00 UTC 2012,2,11,660,22,3,Gyms or Fitness Centers=1_Professional & Other Places=2_Shops & Services=1,Office=2_Gym=1,Apple Inc.=2_Apple Fitness Center=1,Gym=37.331686 -122.034872_Office=37.331653 -122.03072304
Wed Sep 05 11:30:00 UTC 2012,2,11,690,11,1,Food=1,BBQ Joint=1,Armadillo Willy's=1,BBQ Joint=37.321548 -122.031964
Wed Sep 05 12:00:00 UTC 2012,2,12,720,10,1,Professional & Other Places=1,Office=1,Panasonic Research=1,Office=37.335153 -122.00483
Wed Sep 05 12:30:00 UTC 2012,2,12,750,22,1,Professional & Other Places=1,Office=1,Apple Inc.=1,Office=37.331653 -122.03072304
Wed Sep 05 13:00:00 UTC 2012,2,13,780,12,1,Food=1,Brewery=1,Infinite Loop 7=1,Brewery=37.33123879 -122.0315945
Wed Sep 05 13:30:00 UTC 2012,2,13,810,0,0,"","","",""
Wed Sep 05 14:00:00 UTC 2012,2,14,840,0,0,"","","",""
Wed Sep 05 14:30:00 UTC 2012,2,14,870,0,0,"","","",""
Wed Sep 05 15:00:00 UTC 2012,2,15,900,0,0,"","","",""
Wed Sep 05 15:30:00 UTC 2012,2,15,930,0,0,"","","",""
Wed Sep 05 16:00:00 UTC 2012,2,16,960,1,0,"","","",""
Wed Sep 05 16:30:00 UTC 2012,2,16,990,9,0,"","","",""
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,15,1,Professional & Other Places=1,Office=1,Apple Inc.=1,Office=37.331653 -122.03072304
Wed Sep 05 17:30:00 UTC 2012,2,17,1050,12,3,Residences=1_Food=3,Sandwich Place=1_Ramen /  Noodle House=1_Coffee Shop=1_Home (private)=1,Alotta's Delicatessen=1_Bitter+Sweet=1_Orenchi Ramen=1,Home (private)=37.31837694 -122.03150569_Coffee Shop=37.31837694 -122.03150569_Ramen /  Noodle House=37.33635038 -121.99422598_Sandwich Place=37.34069212 -122.07085827
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,6,0,"","","",""
Wed Sep 05 18:30:00 UTC 2012,2,18,1110,6,0,"","","",""
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,1,0,"","","",""
Wed Sep 05 19:30:00 UTC 2012,2,19,1170,19,2,Food=2,Pizza Place=1_Coffee Shop=1,Pizza My Heart=1_Starbucks=1,Coffee Shop=37.32199665 -122.03273177_Pizza Place=37.32195825 -122.03298926
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,8,0,"","","",""
Wed Sep 05 20:30:00 UTC 2012,2,20,1230,7,2,Residences=1_Food=1,Falafel Restaurant=1_Home (private)=1,Village Falafel=1_CPT48劇場=1,Home (private)=37.32037181 -122.03260194_Falafel Restaurant=37.32255583 -122.023501
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,15,1,Nightlife Spots=1,Bar=1,BJ's Restaurant & Brewhouse=1,Bar=37.331305 -122.03180909
Wed Sep 05 21:30:00 UTC 2012,2,21,1290,1,1,Food=1,Coffee Shop=1,Starbucks=1,Coffee Shop=37.32199665 -122.03273177
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,6,0,"","","",""
Wed Sep 05 22:30:00 UTC 2012,2,22,1350,22,0,"","","",""
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,8,0,"","","",""
Wed Sep 05 23:30:00 UTC 2012,2,23,1410,3,0,"","","",""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,0,0,"","","",""
Thu Sep 06 00:30:00 UTC 2012,3,0,30,1,0,"","","",""
Thu Sep 06 01:00:00 UTC 2012,3,1,60,0,0,"","","",""
Thu Sep 06 01:30:00 UTC 2012,3,1,90,4,0,"","","",""
Thu Sep 06 02:00:00 UTC 2012,3,2,120,0,0,"","","",""
Thu Sep 06 02:30:00 UTC 2012,3,2,150,0,0,"","","",""
Thu Sep 06 03:00:00 UTC 2012,3,3,180,0,0,"","","",""
Thu Sep 06 03:30:00 UTC 2012,3,3,210,0,0,"","","",""
Thu Sep 06 04:00:00 UTC 2012,3,4,240,0,0,"","","",""
Thu Sep 06 04:30:00 UTC 2012,3,4,270,0,0,"","","",""
Thu Sep 06 05:00:00 UTC 2012,3,5,300,1,0,"","","",""
Thu Sep 06 05:30:00 UTC 2012,3,5,330,0,0,"","","",""
Thu Sep 06 06:00:00 UTC 2012,3,6,360,4,0,"","","",""
Thu Sep 06 06:30:00 UTC 2012,3,6,390,4,0,"","","",""
Thu Sep 06 07:00:00 UTC 2012,3,7,420,10,0,"","","",""
