time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Thu Sep 06 12:00:00 UTC 2012,3,12,720,12,0,"","","",""
Thu Sep 06 12:30:00 UTC 2012,3,12,750,18,2,Colleges & Universities=1_Travel & Transport=1,Train Station=1_General College & University=1,"Eliteschule des Sports ""Friedrich Ludwig Jahn""=1_Potsdam Hauptbahnhof=1",General College & University=52.38213701 13.01942481_Train Station=52.39149915 13.06627393
Thu Sep 06 13:00:00 UTC 2012,3,13,780,9,1,Outdoors & Recreation=1,Park=1,Park Sanssouci=1,Park=52.40192139 13.03570747
Thu Sep 06 13:30:00 UTC 2012,3,13,810,15,0,"","","",""
Thu Sep 06 14:00:00 UTC 2012,3,14,840,12,0,"","","",""
Thu Sep 06 14:30:00 UTC 2012,3,14,870,17,1,Arts & Entertainment=1,Historic Site=1,Schloss Sanssouci=1,Historic Site=52.40408147 13.03845406
Thu Sep 06 15:00:00 UTC 2012,3,15,900,13,0,"","","",""
Thu Sep 06 15:30:00 UTC 2012,3,15,930,17,2,Hotels=1_Shops & Services=1_Travel & Transport=1,Bed & Breakfast=1_Salon / Barbershop=1,Schlosshotel Cecilienhof=1_hairkiller=1,Salon / Barbershop=52.4002533 13.05276775_Bed & Breakfast=52.41928846 13.07014289
Thu Sep 06 16:00:00 UTC 2012,3,16,960,15,2,Outdoors & Recreation=1_Travel & Transport=1,Bridge=1_Light Rail=1,Glienicker Brücke=1_Tram-H Lange Brücke=1,Light Rail=52.392429 13.063581_Bridge=52.41342752 13.09040308
Thu Sep 06 16:30:00 UTC 2012,3,16,990,17,1,Food=1,Coffee Shop=1,Starbucks=1,Coffee Shop=52.40055987 13.05610036
Thu Sep 06 17:00:00 UTC 2012,3,17,1020,10,0,"","","",""
Thu Sep 06 17:30:00 UTC 2012,3,17,1050,13,0,"","","",""
Thu Sep 06 18:00:00 UTC 2012,3,18,1080,14,0,"","","",""
Thu Sep 06 18:30:00 UTC 2012,3,18,1110,12,0,"","","",""
Thu Sep 06 19:00:00 UTC 2012,3,19,1140,8,0,"","","",""
Thu Sep 06 19:30:00 UTC 2012,3,19,1170,15,0,"","","",""
Thu Sep 06 20:00:00 UTC 2012,3,20,1200,12,1,Shops & Services=1_Gyms or Fitness Centers=1,Gym Pool=1,Schwimmhalle am Brauhausberg=1,Gym Pool=52.38926619 13.06387184
Thu Sep 06 20:30:00 UTC 2012,3,20,1230,13,0,"","","",""
Thu Sep 06 21:00:00 UTC 2012,3,21,1260,15,1,Nightlife Spots=1,Bar=1,Pub a la Pub=1,Bar=52.39520066 13.05531741
Thu Sep 06 21:30:00 UTC 2012,3,21,1290,17,0,"","","",""
Thu Sep 06 22:00:00 UTC 2012,3,22,1320,15,0,"","","",""
Thu Sep 06 22:30:00 UTC 2012,3,22,1350,13,0,"","","",""
Thu Sep 06 23:00:00 UTC 2012,3,23,1380,21,0,"","","",""
Thu Sep 06 23:30:00 UTC 2012,3,23,1410,11,0,"","","",""
Fri Sep 07 00:00:00 UTC 2012,4,0,0,14,0,"","","",""
Fri Sep 07 00:30:00 UTC 2012,4,0,30,15,0,"","","",""
Fri Sep 07 01:00:00 UTC 2012,4,1,60,13,0,"","","",""
Fri Sep 07 01:30:00 UTC 2012,4,1,90,11,0,"","","",""
Fri Sep 07 02:00:00 UTC 2012,4,2,120,15,0,"","","",""
Fri Sep 07 02:30:00 UTC 2012,4,2,150,11,0,"","","",""
Fri Sep 07 03:00:00 UTC 2012,4,3,180,17,0,"","","",""
Fri Sep 07 03:30:00 UTC 2012,4,3,210,11,0,"","","",""
Fri Sep 07 04:00:00 UTC 2012,4,4,240,15,0,"","","",""
Fri Sep 07 04:30:00 UTC 2012,4,4,270,12,0,"","","",""
Fri Sep 07 05:00:00 UTC 2012,4,5,300,11,0,"","","",""
Fri Sep 07 05:30:00 UTC 2012,4,5,330,11,0,"","","",""
Fri Sep 07 06:00:00 UTC 2012,4,6,360,9,0,"","","",""
Fri Sep 07 06:30:00 UTC 2012,4,6,390,9,0,"","","",""
Fri Sep 07 07:00:00 UTC 2012,4,7,420,10,0,"","","",""
Fri Sep 07 07:30:00 UTC 2012,4,7,450,7,0,"","","",""
Fri Sep 07 08:00:00 UTC 2012,4,8,480,8,0,"","","",""
Fri Sep 07 08:30:00 UTC 2012,4,8,510,11,0,"","","",""
Fri Sep 07 09:00:00 UTC 2012,4,9,540,12,0,"","","",""
Fri Sep 07 09:30:00 UTC 2012,4,9,570,16,0,"","","",""
Fri Sep 07 10:00:00 UTC 2012,4,10,600,12,1,Colleges & Universities=2,College Lab=1_College Library=1,GFZ German Research Centre for Geosciences=1,College Library=52.37993193 13.06562309_College Lab=52.37993193 13.06562309
Fri Sep 07 10:30:00 UTC 2012,4,10,630,12,0,"","","",""
Fri Sep 07 11:00:00 UTC 2012,4,11,660,13,2,Colleges & Universities=2,University=2,Institut für Informatik=2,University=52.3934664 13.12980378
Fri Sep 07 11:30:00 UTC 2012,4,11,690,14,0,"","","",""
Fri Sep 07 12:00:00 UTC 2012,4,12,720,17,0,"","","",""
Fri Sep 07 12:30:00 UTC 2012,4,12,750,16,0,"","","",""
Fri Sep 07 13:00:00 UTC 2012,4,13,780,9,0,"","","",""
Fri Sep 07 13:30:00 UTC 2012,4,13,810,14,0,"","","",""
