time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues
Fri Sep 07 04:30:00 UTC 2012,4,4,270,34,7,Travel & Transport=2_Nightlife Spots=1_Museums=1_Hotels=1_Bus Stations=1_Arts & Entertainment=1_Food=1_Professional & Other Places=1,Bus Line=1_Motel=1_Breakfast Spot=1_Gay Bar=1_Building=1_Art Museum=1,Bucher Chaussee/Achillesstrasse=1_Neue Nationalgalerie=1_Prinzknecht=1_Motel One=1_Café des Artistes=1_Boschen & Oetting=1_Deutsche Telekom AG=1
Fri Sep 07 05:00:00 UTC 2012,4,5,300,34,6,Travel & Transport=3_Professional & Other Places=2,Event Space=1_Train Station=1_Light Rail=1_Office=1_Hotel=1,@pixeltamer_net Office=1_PinkCupcake=1_Novotel Suite Berlin=1_Berlin Hauptbahnhof=1_Falkensee=1_S-Bhf Hohenschönhausen - S75=1
Fri Sep 07 05:30:00 UTC 2012,4,5,330,37,5,Travel & Transport=5_Shops & Services=1,Bank=1_Subway=1_Train Station=1_Light Rail=1_Bus Station=1_Hotel=1,ZOB am Funkturm=1_S-Bhf. Raoul-Wallenberg-Str. | S7=1_Sickinger Hof=1_S+U-Bhf Wuhletal=1_Postbank Finanzcenter=1
Fri Sep 07 06:00:00 UTC 2012,4,6,360,63,5,Travel & Transport=3_Shops & Services=1_Food=1_Offices=1_Professional & Other Places=1,Train Station=2_Cafeteria=1_Airport=1_Grocery Store=1,Journalisten-Club=1_Aldi=1_Berlin Ostbahnhof=1_S+U Friedrichstraße=1_Berlin-Schönefeld Airport (SXF)=1
Fri Sep 07 06:30:00 UTC 2012,4,6,390,72,3,Food=1_Professional & Other Places=2,Office=2_Café=1,Microsoft Regional Office Berlin=1_notebooksbilliger.de AG Office Berlin=1_St. Oberholz=1
Fri Sep 07 07:00:00 UTC 2012,4,7,420,102,14,Athletics & Sports=1_Travel & Transport=4_Outdoors & Recreation=3_College Academic Buildings=1_Shops & Services=1_Food=1_Airports=1_Professional & Other Places=4_Colleges & Universities=1,Office=2_Medical Center=1_Train Station=1_Playground=1_Lake=1_School=1_Subway=1_Café=1,"KL1822 AMS=1_Sexy Secret Berlin=1_Quadriga Hochschule Berlin=1_Kita Pfiffikus=1_TBO interactive | Digital Strategy Agency=1_Ergotherapie Turmstraße, Barbara Sieberg & Dörthe Birkemeyer=1_U-Bhf Dahlem-Dorf=1_Johann Rose=1_Berlin Tegel Airport (TXL)=1_Spielplatz Dreiländereck=1_American Little League Berlin - Field B=1_Berlin Ostbahnhof=1_Lietzensee=1_Josetti Höfe=1"
Fri Sep 07 07:30:00 UTC 2012,4,7,450,133,14,Outdoors & Recreation=1_Travel & Transport=2_Arts & Entertainment=2_Shops & Services=3_Medical Centers=1_Offices=2_Professional & Other Places=7,Office=3_Tech Startup=2_Museum=2,Kunstgewerbemuseum=2_Berlin Tegel Airport (TXL)=1_Orange Spätkauf=1_ThinkHeads=1_magellan netzwerke GmbH=1_Amerikanische Botschaft Berlin=1_Crowdpark=1_Jessnerstraße=1_Zahnarztpraxis Mätzig-Vehlewald=1_Siemens AG=1_Zollamt Schöneberg=1_Karstadt=1_RallyPad Berlin=1
Fri Sep 07 08:00:00 UTC 2012,4,8,480,68,7,Outdoors & Recreation=1_Travel & Transport=3_Shops & Services=1_Food=1_Professional & Other Places=1_Colleges & Universities=2,Train Station=1_College Library=1_Office=1_College Lab=1_Airport=1_Other Great Outdoors=1_Grocery Store=1_Hotel=1,GFZ German Research Centre for Geosciences=1_REWE=1_ITDZ=1_Berlin Hauptbahnhof=1_Soho House=1_Spree-Ufer Jogging Strecke=1_Berlin-Schönefeld Airport (SXF)=1
Fri Sep 07 08:30:00 UTC 2012,4,8,510,115,8,Government Buildings=1_Outdoors & Recreation=1_Travel & Transport=1_Shops & Services=1_Arts & Entertainment=2_Food=1_Offices=1_Professional & Other Places=3,Tech Startup=1_Train Station=1_Courthouse=1_Office=1_Arcade=1_Grocery Store=1_Plaza=1_Music Venue=1,Oberverwaltungsgericht OVG Berlin-Brandenburg=1_Hattrick=1_Alcatel lucent berlin=1_berida.com HQ (P40)=1_Radio ENERGY=1_Berlin Ostbahnhof=1_Kaiser's=1_Alexanderplatz=1
Fri Sep 07 09:00:00 UTC 2012,4,9,540,105,15,Travel & Transport=3_Nightlife Spots=1_Hotels=1_Shops & Services=2_Airports=1_Medical Centers=2_Food=3_Colleges & Universities=2_Professional & Other Places=4,Doctor's Office=2_University=2_Office=2_Café=1_Airport Terminal=1_Motel=1_Bookstore=1_Farmers Market=1,Institut für Informatik=2_Ärztehaus Münzstraße=2_Berlin Tegel Airport (TXL)=1_Wochenmarkt am Maybachufer=1_BUCHBOX! Kiezbuchhandlung=1_Café Einstein=1_Tee & Tee Lichtenrade=1_Terminal A=1_Office @ DXM=1_Motel One=1_Haus der Bundespressekonferenz=1_WZB - Wissenschaftszentrum Berlin für Sozialforschung=1_Roadrunner's Paradise=1
