longitude,latitude,fsq_venueName,fsq_venueCount
-0.131104,51.51413197,Club49,1
-0.46120144,51.34706536,David Lloyd Racquet And Fitness Club,2
-0.01478434,51.5369665,Olympic Athlete's Warm Up Track,1
-0.00696382,51.54339277,Victoria's Secret,9
-0.52102069,51.43433302,IBM Staines (Lotus Park),2
-0.214607,51.449649,The Ineson Laundromat,1
-0.07913589,51.44539505,Dulwich Park,4
-0.08632421,51.51008463,The Monument,1
-0.154727,51.517542,Anthony Yacomine,1
-0.13004356,51.5096717,Radisson Blu Edwardian Leicester Square Hotel,1
-0.10022641,51.505238,PlusTwo,1
-0.30499935,51.51377707,Ealing,1
-0.14295101,51.52441871,Carat,3
-0.20554514,51.51581097,The Notting Hill Bookshop,2
-0.225797,51.510253,SPUR BBC Television Centre,1
-0.03643,51.455904,Jam Circus,1
-0.144732,51.537743,The Spread Eagle,1
-0.07775187,51.52048013,SapientNitro,5
-0.45185566,51.53213468,Hillingdon Fire Station,2
-0.11994839,51.53077313,The Big Chill House,2
-0.16484185,51.51664608,colbah,1
-0.13501898,51.49957588,Bruno's Cafe,4
0.028946,51.408709,Bromley Cricket Club,1
-0.078649,51.37508734,Sandilands Tram Stop,2
-0.14159796,51.51517388,Oxford Circus Bus Stop,1
-0.19405258,51.48966881,Chelsea House,1
-0.14498683,51.51832439,Chandos House,1
-0.00920846,51.48196521,Admiral Hardy Pub,1
-0.16431481,51.58651648,The Old White Lion,1
-0.2211535,51.50719323,Tapas Revolution,1
-0.148199,51.510344,Michel Perry,1
-0.16767334,51.462613,Superdrug,2
-0.33409595,51.5917358,Harrow & Wealdstone Railway Station (HRW),9
-0.24348021,51.53188106,Willesden Junction Railway Station (WIJ),4
-0.12753367,51.5032398,10 Downing St.,1
-0.075046,51.519779,Cafe Caribbean,1
0.179468,51.577591,US Embassy,1
-0.09784954,51.37304447,My PT Studio,1
-0.11659363,51.53641642,Cali Food & Wine,2
-0.363704,51.478703,"Park Grand ""Heathrow""",1
-0.1454015,51.49452392,Garfunkel's,4
-0.11865378,51.51807665,Citadines Holborn-Covent Garden,1
-0.39615691,51.66365849,Watford Junction Railway Station (WFJ),18
-0.19309636,51.51293161,The Prince Edward,2
-0.15389544,51.6192069,Bethune Park,1
-0.12686849,51.50880256,St Martin in the Fields,1
-0.11539266,51.57057904,The Old Dairy,2
-0.17146826,51.49681475,Victoria and Albert Museum (V&A),12
-0.27154043,51.6579312,Nimika Best Food And Wine,1
0.0522345,51.45525431,Wimpy,3
-0.1188755,51.53571188,Copenhagen Primary School,1
-0.07715924,51.50318447,Tower Bridge / City Hall Bus Stop,1
-0.07759094,51.52465902,Shoreditch,1
-0.25284383,51.49599746,ArtsEd (Arts Educational Schools London),1
-0.13897518,51.51128374,Godiva,1
-0.12297559,51.43614379,Maconha's house,1
-0.0330019,51.58246994,Manze's,1
0.056658,51.431735,Indoors Watching Top Of The Pops,1
-0.15097618,51.56957459,Flask Tavern,1
-0.16149044,51.48580589,Foxtrot Oscar,1
-0.057857,51.499271,The Club St Peters,1
-0.10505676,51.5199327,Gymbox,3
-0.12527297,51.51606237,Blippar,1
-0.02630711,51.4788171,Deptford Railway Station (DEP),1
-0.22586346,51.60725021,PowerLeague Mill Hill,1
-0.03048021,51.54433883,"Hackney Wick, Chapman Rd stand",1
-0.09531038,51.487256,Bagel King,1
-0.14566995,51.496694,Reply UK Ltd,4
0.17273426,51.57594937,Cottons Park,1
-0.17900946,51.55644573,Everyman Hampstead,2
-0.4680562,51.35465803,Mercedes-Benz World,1
0.05203464,51.45520812,Terry's All Locks,3
-0.07561562,51.52150554,Hawksmoor Bar,1
-0.09967731,51.4781806,"Ed's bed, baby. Ed's bed",1
-0.34457359,51.45023713,London Broncos RFL,1
-0.150671,51.509792,Jo hansford,1
-0.14456034,51.49535863,London Victoria Railway Station (VIC),55
0.04680991,51.62614957,Buckhurst Hill Underground Station,1
-0.548989,51.581868,Gerrards Cross C.E. School,1
-0.31342423,51.47854078,Syon Park Garden Restaurant,1
-0.25293292,51.4884398,Fullers Brewery,1
-0.1826253,51.52139928,Little Venice,1
-0.19254312,51.41582498,Wimbeldon,1
-0.0838173,51.52598197,Giddy Up At Floripa,1
