time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Wed Sep 05 01:30:00 UTC 2012,2,1,90,0,0,"","","",""
Wed Sep 05 02:00:00 UTC 2012,2,2,120,2,0,"","","",""
Wed Sep 05 02:30:00 UTC 2012,2,2,150,0,0,"","","",""
Wed Sep 05 03:00:00 UTC 2012,2,3,180,0,0,"","","",""
Wed Sep 05 03:30:00 UTC 2012,2,3,210,0,0,"","","",""
Wed Sep 05 04:00:00 UTC 2012,2,4,240,0,0,"","","",""
Wed Sep 05 04:30:00 UTC 2012,2,4,270,0,0,"","","",""
Wed Sep 05 05:00:00 UTC 2012,2,5,300,0,0,"","","",""
Wed Sep 05 05:30:00 UTC 2012,2,5,330,0,0,"","","",""
Wed Sep 05 06:00:00 UTC 2012,2,6,360,1,0,"","","",""
Wed Sep 05 06:30:00 UTC 2012,2,6,390,1,0,"","","",""
Wed Sep 05 07:00:00 UTC 2012,2,7,420,1,0,"","","",""
Wed Sep 05 07:30:00 UTC 2012,2,7,450,0,0,"","","",""
Wed Sep 05 08:00:00 UTC 2012,2,8,480,2,0,"","","",""
Wed Sep 05 08:30:00 UTC 2012,2,8,510,4,1,Professional & Other Places=1,Office=1,Cubeware GmbH=1,Office=47.8403533 12.11410046
Wed Sep 05 09:00:00 UTC 2012,2,9,540,0,0,"","","",""
Wed Sep 05 09:30:00 UTC 2012,2,9,570,0,0,"","","",""
Wed Sep 05 10:00:00 UTC 2012,2,10,600,1,1,Arts & Entertainment=1,General Entertainment=1,Ku'ko: Kultur & Kongresszentrum=1,General Entertainment=47.85312983 12.12493999
Wed Sep 05 10:30:00 UTC 2012,2,10,630,0,0,"","","",""
Wed Sep 05 11:00:00 UTC 2012,2,11,660,0,0,"","","",""
Wed Sep 05 11:30:00 UTC 2012,2,11,690,0,0,"","","",""
Wed Sep 05 12:00:00 UTC 2012,2,12,720,0,0,"","","",""
Wed Sep 05 12:30:00 UTC 2012,2,12,750,0,0,"","","",""
Wed Sep 05 13:00:00 UTC 2012,2,13,780,0,0,"","","",""
Wed Sep 05 13:30:00 UTC 2012,2,13,810,0,0,"","","",""
Wed Sep 05 14:00:00 UTC 2012,2,14,840,0,0,"","","",""
Wed Sep 05 14:30:00 UTC 2012,2,14,870,0,0,"","","",""
Wed Sep 05 15:00:00 UTC 2012,2,15,900,0,0,"","","",""
Wed Sep 05 15:30:00 UTC 2012,2,15,930,1,0,"","","",""
Wed Sep 05 16:00:00 UTC 2012,2,16,960,1,0,"","","",""
Wed Sep 05 16:30:00 UTC 2012,2,16,990,1,0,"","","",""
Wed Sep 05 17:00:00 UTC 2012,2,17,1020,1,0,"","","",""
Wed Sep 05 17:30:00 UTC 2012,2,17,1050,2,0,"","","",""
Wed Sep 05 18:00:00 UTC 2012,2,18,1080,4,0,"","","",""
Wed Sep 05 18:30:00 UTC 2012,2,18,1110,1,1,Professional & Other Places=1,Office=1,Cubeware GmbH=1,Office=47.8403533 12.11410046
Wed Sep 05 19:00:00 UTC 2012,2,19,1140,2,0,"","","",""
Wed Sep 05 19:30:00 UTC 2012,2,19,1170,0,0,"","","",""
Wed Sep 05 20:00:00 UTC 2012,2,20,1200,0,0,"","","",""
Wed Sep 05 20:30:00 UTC 2012,2,20,1230,1,0,"","","",""
Wed Sep 05 21:00:00 UTC 2012,2,21,1260,4,0,"","","",""
Wed Sep 05 21:30:00 UTC 2012,2,21,1290,0,0,"","","",""
Wed Sep 05 22:00:00 UTC 2012,2,22,1320,0,0,"","","",""
Wed Sep 05 22:30:00 UTC 2012,2,22,1350,0,0,"","","",""
Wed Sep 05 23:00:00 UTC 2012,2,23,1380,0,0,"","","",""
Wed Sep 05 23:30:00 UTC 2012,2,23,1410,0,0,"","","",""
Thu Sep 06 00:00:00 UTC 2012,3,0,0,0,0,"","","",""
Thu Sep 06 00:30:00 UTC 2012,3,0,30,0,0,"","","",""
Thu Sep 06 01:00:00 UTC 2012,3,1,60,0,0,"","","",""
Thu Sep 06 01:30:00 UTC 2012,3,1,90,2,0,"","","",""
Thu Sep 06 02:00:00 UTC 2012,3,2,120,0,0,"","","",""
Thu Sep 06 02:30:00 UTC 2012,3,2,150,2,0,"","","",""
Thu Sep 06 03:00:00 UTC 2012,3,3,180,1,0,"","","",""
Thu Sep 06 03:30:00 UTC 2012,3,3,210,6,0,"","","",""
Thu Sep 06 04:00:00 UTC 2012,3,4,240,0,0,"","","",""
Thu Sep 06 04:30:00 UTC 2012,3,4,270,0,0,"","","",""
Thu Sep 06 05:00:00 UTC 2012,3,5,300,0,0,"","","",""
Thu Sep 06 05:30:00 UTC 2012,3,5,330,0,0,"","","",""
Thu Sep 06 06:00:00 UTC 2012,3,6,360,0,0,"","","",""
