time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Fri Sep 07 09:00:00 UTC 2012,4,9,540,465,29,Food=6_Shops & Services=3_Offices=5_Travel & Transport=4_Residences=2_Gyms or Fitness Centers=2_Professional & Other Places=12,Tech Startup=4_Office=3_Coffee Shop=3,"San Francisco International Airport (SFO)=2_KickStart=1_YouTube HQ=1_Gold's Gym=1_Wall-e's pad=1_Golden Gate University=1_Burger King=1_The Hatchery=1_San Francisco Mini Storage=1_Starbucks=1_Peet's Coffee & Tea=1_Eddie's Cafe=1_Civic Center MUNI Metro Station=1_Japanese Tea Garden=1_Krav Maga=1_Civic Center/UN Plaza BART Station=1_Russ Building=1_The Plant Cafe Organic=1_Zynga=1_Digital Doghouse=1_Twitter, Inc.=1_Trinity Place=1_ExactTarget Social Media Lab=1_Go Game HQ=1_100 Montgomery=1_Atelier Gabriella Daher=1_Bay Area Air Quality Management District=1_Blue Bottle Coffee=1",Office=37.7993 -122.422674_Tech Startup=37.7768119 -122.41695896_Coffee Shop=37.7787753 -122.396831
Fri Sep 07 09:30:00 UTC 2012,4,9,570,384,21,Food=2_Outdoors & Recreation=2_Offices=2_Shops & Services=3_Travel & Transport=2_Professional & Other Places=7_Colleges & Universities=4,Tech Startup=2_Office=2_College Residence Hall=1_Hospital=1_Neighborhood=1_Bagel Shop=1_Bank=1_Community College=1,City College: Main Campus=1_Mama's On Washington Square=1_Golden Gate University=1_Noah's New York Bagels=1_San Francisco International Airport (SFO)=1_The Amazing Sumazi.com HQ=1_Kaiser Permanente Medical Center=1_One Embarcadero Center=1_Professor Lupin's Hideout=1_VSP Vision Care=1_San Francisco State University=1_100 Block Bush Street=1_University Park South=1_Wells Fargo=1_US Post Office=1_7-Eleven=1_Financial District=1_NutshellMail=1_Apple Store=1_Montgomery MUNI Metro Station=1_George Washington High School=1,Community College=37.7257019 -122.45015323_College Residence Hall=37.72088172 -122.4821949_Neighborhood=37.79213414 -122.4009347_Hospital=37.78341441 -122.44059458_Office=37.79465641 -122.3996526_Tech Startup=37.78995286 -122.39941567_Bagel Shop=37.79421987 -122.39499972_Bank=37.79417288 -122.4000336
Fri Sep 07 10:00:00 UTC 2012,4,10,600,287,14,Food=7_Travel & Transport=3_Professional & Other Places=1_Movie Theaters=1_Arts & Entertainment=1_Nightlife Spots=1,Coffee Shop=2_Café=2_Multiplex=1_Light Rail=1_Medical Center=1_New American Restaurant=1_Airport=1_Sandwich Place=1,Philz Coffee=2_Tartine Cafe Francais=2_Project Open Hand=1_Powell St. BART Station=1_Blood Centers of the Pacific=1_San Francisco International Airport (SFO)=1_MUNI Metro Stop - Embarcadero & Folsom=1_Sweet Chinito=1_Noble=1_AMC Van Ness 14=1_Jack's Restaurant & Bar=1_UCSF Medical Building - Prenatal Diagnostics=1,Sandwich Place=37.74793 -122.41843879_Airport=37.61642405 -122.38627911_Multiplex=37.78526088 -122.42018885_Café=37.77560051 -122.42281029_Light Rail=37.79063346 -122.38978744_New American Restaurant=37.634071 -122.42040697_Medical Center=37.779083 -122.44682193_Coffee Shop=37.77583552 -122.39346185
Fri Sep 07 10:30:00 UTC 2012,4,10,630,400,23,Food=3_Airports=2_Outdoors & Recreation=4_Offices=2_Shops & Services=4_Travel & Transport=6_Professional & Other Places=5,Airport Terminal=2_Bridge=2_Tech Startup=2_Office=2_Shoe Store=1_Café=1_Airport=1_Breakfast Spot=1,Southwest Airlines=1_Virgin America=1_Nob Hill Spa=1_BrainfoodUSA=1_Best Western The Hotel California=1_Sears Fine Foods=1_Target Paper=1_Moscone North=1_San Francisco International Airport (SFO)=1_Getaround HQ=1_Avis Car Rental=1_Nick's Super Market=1_Under The Bay Bridge=1_In A Lyft=1_Pier 40=1_Golden Gate Bridge=1_Union Square=1_NIKETOWN=1_GREE International=1_The Grove=1_Pete's Launderette=1_Dropbox HQ=1_Boudin Bakery & Cafe=1,Airport Terminal=37.61274167 -122.38384134_Shoe Store=37.78859859 -122.40668267_Breakfast Spot=37.78878943 -122.40856853_Airport=37.61642405 -122.38627911_Café=37.78653398 -122.40192175_Office=37.77628618 -122.39296397_Tech Startup=37.77563179 -122.41145022_Bridge=37.7886749 -122.38803864
Fri Sep 07 11:00:00 UTC 2012,4,11,660,425,18,Food=6_Outdoors & Recreation=1_Shops & Services=4_Travel & Transport=1_College Academic Buildings=1_Gyms or Fitness Centers=1_Residences=1_Professional & Other Places=2_Arts & Entertainment=1_Colleges & Universities=1,Coffee Shop=1_Southern / Soul Food Restaurant=1_Medical Center=1_Toy / Game Store=1_Department Store=1_Office=1_Airport=1_College Communications Building=1,Disney Store=1_Old Navy Inc Headquarters=1_Brenda's French Soul Food=1_Macy's=1_Soul Scissors Hair Design=1_San Francisco International Airport (SFO)=1_Fisherman's Wharf Sign=1_The Cheesecake Factory=1_Magnet=1_Vahai Ni cHiL sa Goethe=1_Millbrae Pancake House=1_SFSU - Humanities Building=1_PIER 39=1_Sightglass Coffee=1_Java Beach Cafe=1_Specialty's Cafe & Bakery=1_The Sports Club/LA=1_Apple Store=1,College Communications Building=37.72235836 -122.48110056_Airport=37.61642405 -122.38627911_Office=37.76940107 -122.38728801_Department Store=37.78786417 -122.40752313_Toy / Game Store=37.78614766 -122.40639102_Medical Center=37.761003 -122.435518_Southern / Soul Food Restaurant=37.782897 -122.41921782_Coffee Shop=37.77697193 -122.40855746
Fri Sep 07 11:30:00 UTC 2012,4,11,690,516,30,Food=13_Shops & Services=7_Travel & Transport=4_Professional & Other Places=3_Arts & Entertainment=2,American Restaurant=3_Airport=3_Clothing Store=2_Sandwich Place=2_Coffee Shop=2,San Francisco International Airport (SFO)=3_Daly City BART Bus Stops=1_Involver HQ=1_Westfield San Francisco Centre=1_Richard Moskowitz M.D.=1_The American Grilled Cheese Kitchen=1_Savor Restaurant=1_Super Duper Burger=1_Starbucks=1_Ferrari Store=1_Nordstrom=1_Cafe Vivoli=1_Dixie=1_Alcatraz Island=1_Old Navy=1_Subway=1_Musée Mécanique=1_India Clay Oven=1_Xiao Long Bao Kitchen=1_The Holding Company=1_Americana Grill & Fountain=1_Academy of Art University - Townsend=1_Walgreens=1_The Grove=1_La Gallinita Meat Market=1_The Art of Shaving=1_The Coffee Bean & Tea Leaf=1_Target=1,American Restaurant=37.75138378 -122.430028_Sandwich Place=37.78241695 -122.392824_Airport=37.61642405 -122.38627911_Clothing Store=37.78404536 -122.40756512_Coffee Shop=37.79204088 -122.39763021
Fri Sep 07 12:00:00 UTC 2012,4,12,720,444,27,Food=13_Shops & Services=3_Travel & Transport=3_Professional & Other Places=5,Mexican Restaurant=3_Airport=2_Pizza Place=2_Coffee Shop=2,San Francisco International Airport (SFO)=2_Arizmendi Bakery=1_Lids=1_Kafe 99=1_YouTube HQ 2nd Floor (Engineering)=1_King of Thai Noodle Cafe=1_Mozilla San Francisco Office=1_Year Up Bay Area=1_San Francisco Endoscopy Center=1_Pete's Deli & Cafe=1_DIESEL SF Breakroom=1_Espresso Roma Cafe=1_Patxi's Chicago Pizza=1_Gate 78A=1_Ironside=1_Small Foods=1_Tortas Los Picudos=1_Melissa's Taqueria=1_Yerba Buena Gardens=1_Buckhorn Grill=1_US Post Office=1_Tipsy Pig=1_Lefty O'Doul's=1_Chipotle Mexican Grill=1_24 Hour Fitness=1_New Sandy's Cafe & Deli=1,Mexican Restaurant=37.68332124 -122.40327895_Pizza Place=37.7766077 -122.4250379_Airport=37.61642405 -122.38627911_Coffee Shop=37.76220628 -122.41402764
Fri Sep 07 12:30:00 UTC 2012,4,12,750,400,35,Food=18_Outdoors & Recreation=4_Shops & Services=4_Travel & Transport=6,Airport=4_Deli / Bodega=3,"San Francisco International Airport (SFO)=4_Lombard at Van Ness=1_Blue Front Cafe=1_salesforce.com=1_Trader Joe's=1_Curry Up Now=1_Salesforce.com=1_Soup Junkie - Noodle Soups, Sandwiches, Coffee=1_Lee's Deli=1_Haight/Ashbury=1_Mixt Greens=1_Northridge Park=1_Panta Rei Restaurant=1_Bistro Burger=1_Irish Times=1_Off the Grid: Civic Center=1_Saigon Deli Express=1_The Plant Cafe Organic=1_Salon Yuni=1_Capital Restaurant=1_Grand Pu Bah=1_Deli Board=1_La Taqueria=1_SFO Terminal 3=1_AK Subs=1_La Palma Mexicatessen Molino y Tortilleria=1_Rubio's=1_San Francisco Soup Company=1_The Sports Club/LA=1_Mijita Cocina Mexicana=1_Rodeo Beach=1_Little Italy=1",Airport=37.61642405 -122.38627911_Deli / Bodega=37.777642 -122.407074
Fri Sep 07 13:00:00 UTC 2012,4,13,780,559,43,Food=28_Outdoors & Recreation=3_Travel & Transport=4_Nightlife Spots=3,Airport=4_Bar=3_Burger Joint=3_Coffee Shop=3,San Francisco International Airport (SFO)=4_Starbucks=3_Painted Ladies=1_Alamo Square=1_Slow Club=1_Wrapp=1_Park Chow=1_Plow=1_Gogo Market and Deli=1_Super Duper Burger=1_Brickhouse Cafe=1_A.G. Ferrari=1_Tlaloc Sabor Mexicano=1_Pasilla Mexican Grill=1_Curry Up Now=1_North Beach Pizza=1_Han Il Kwan=1_La Boulange de Noe=1_Polo Grounds=1_Sushirrito=1_Darn Good Food=1_La Espiga de Oro=1_PurpleKow=1_Edelman Public Relations=1_HRD Coffee Shop=1_Battery Street Coffee Roastery=1_Sports Authority=1_Umami Burger=1_Mijouri Sushi Bune=1_Hotei=1_Royal Exchange=1_Jade Cafe=1_Chipotle Mexican Grill=1_Little Italy=1_Hard Knox Cafe=1_AMC Theatre 14=1_Jack's Restaurant & Bar=1_Mucky Duck=1,Airport=37.61642405 -122.38627911_Burger Joint=37.76397903 -122.433565_Coffee Shop=37.62570805 -122.42601335_Bar=37.77828727 -122.39227247
Fri Sep 07 13:30:00 UTC 2012,4,13,810,516,20,Food=5_Outdoors & Recreation=2_Shops & Services=7_Travel & Transport=4_Clothing Stores=2,Airport=3_Coffee Shop=2_Boutique=2,San Francisco International Airport (SFO)=3_Chez Maman=1_Acura of Serramonte=1_Blue Bottle Coffee Kiosk=1_Whole Foods Market=1_Starbucks=1_Intrax=1_Mission Creek Park=1_R & G Lounge=1_Haight Ashbury Vintage=1_Ferry Building=1_Azalea Boutique=1_SFO Terminal 2 Yoga Room=1_San Francisco Conservatory of Music=1_Crossroads Trading Co.=1_The Container Store=1_Muni 29- Fulton & 25th=1_Eden Plaza Cafe=1,Boutique=37.77683794 -122.423251_Airport=37.61642405 -122.38627911_Coffee Shop=37.776407 -122.42325068
