time,count,fsq_count,CategorieParents,Categories
Wed Sep 05 11:00:00 UTC 2012,927,40,Travel & Transport=9_Professional & Other Places=5_Colleges & Universities=4,Office=3_Café=2_Bakery=2
Wed Sep 05 12:00:00 UTC 2012,884,58,Travel & Transport=9_Shops & Services=8_Professional & Other Places=5,Vietnamese Restaurant=3_Tech Startup=3_Sandwich Place=3
Wed Sep 05 13:00:00 UTC 2012,546,40,Professional & Other Places=7_Outdoors & Recreation=5_Nightlife Spots=4,Bar=3_Food Truck=2_Coffee Shop=2
Wed Sep 05 14:00:00 UTC 2012,0,0,"",""
Wed Sep 05 15:00:00 UTC 2012,0,0,"",""
Wed Sep 05 16:00:00 UTC 2012,759,26,Food=4_Travel & Transport=3_Shops & Services=3,Brewery=2_Plaza=2_College Basketball Court=2
Wed Sep 05 17:00:00 UTC 2012,1397,45,Shops & Services=10_Nightlife Spots=7_Outdoors & Recreation=5,Gym / Fitness Center=3_Brewery=3_Airport=2
Wed Sep 05 18:00:00 UTC 2012,1364,93,Travel & Transport=15_Nightlife Spots=13_Shops & Services=11,Gym=5_Airport=5_American Restaurant=5
Wed Sep 05 19:00:00 UTC 2012,1941,83,Food=19_Stadiums=15_Shops & Services=9,Home (private)=3_Theater=3_Gym / Fitness Center=3
Wed Sep 05 20:00:00 UTC 2012,1416,68,Arts & Entertainment=11_Shops & Services=10_Nightlife Spots=9,American Restaurant=6_Italian Restaurant=4_Home (private)=3
Wed Sep 05 21:00:00 UTC 2012,1124,44,Nightlife Spots=11_Food=7_Professional & Other Places=4,Bar=4_Baseball Stadium=3_Subway=2
Wed Sep 05 22:00:00 UTC 2012,816,30,Nightlife Spots=8_Food=6_Residences=4,Home (private)=4_Bar=4_Airport=4
Wed Sep 05 23:00:00 UTC 2012,531,19,Nightlife Spots=5_Travel & Transport=4_Outdoors & Recreation=2,Airport=2_Bar=2_Italian Restaurant=2
Thu Sep 06 00:00:00 UTC 2012,249,7,Nightlife Spots=1_Outdoors & Recreation=1_Arts & Entertainment=1,Bar=1_Home (private)=1_Other Great Outdoors=1
Thu Sep 06 01:00:00 UTC 2012,217,3,Food=1_Airports=1,Airport=1_Airport Tram=1
Thu Sep 06 02:00:00 UTC 2012,175,3,Nightlife Spots=1_Residences=1,Residential Building (Apartment / Condo)=1_Diner=1
Thu Sep 06 03:00:00 UTC 2012,142,0,"",""
Thu Sep 06 04:00:00 UTC 2012,116,4,Airports=2,Airport Lounge=1_Airport Terminal=1
Thu Sep 06 05:00:00 UTC 2012,207,8,Shops & Services=1_Gyms or Fitness Centers=1_Airports=1,Train Station=1_Subway=1_Airport Gate=1
Thu Sep 06 06:00:00 UTC 2012,304,8,Outdoors & Recreation=3_Shops & Services=1_Gyms or Fitness Centers=1,Plaza=1_Subway=1_Park=1
Thu Sep 06 07:00:00 UTC 2012,475,33,Outdoors & Recreation=6_Travel & Transport=5_Professional & Other Places=4,Park=3_Office=2_Café=2
Thu Sep 06 08:00:00 UTC 2012,616,51,Travel & Transport=12_Food=11_Shops & Services=9,Tech Startup=4_Coffee Shop=4_Airport=2
Thu Sep 06 09:00:00 UTC 2012,705,59,Travel & Transport=14_Food=13_Offices=6,Coffee Shop=8_Airport=6_Tech Startup=6
Thu Sep 06 10:00:00 UTC 2012,723,28,Travel & Transport=6_Food=5_Shops & Services=3,Airport=4_Coffee Shop=3_Grocery Store=2
Thu Sep 06 11:00:00 UTC 2012,783,33,Professional & Other Places=8_Travel & Transport=7_Offices=6,Airport=4_Coffee Shop=3_Airport Terminal=2
Thu Sep 06 12:00:00 UTC 2012,866,53,Professional & Other Places=7_Travel & Transport=7_Shops & Services=6,Mexican Restaurant=4_Office=4_Sandwich Place=3
Thu Sep 06 13:00:00 UTC 2012,1043,62,Shops & Services=10_Travel & Transport=9_Food & Drink Shops=6,Chinese Restaurant=5_Café=4_Coffee Shop=2
Thu Sep 06 14:00:00 UTC 2012,1173,55,Professional & Other Places=13_Shops & Services=9_Travel & Transport=4,Airport=4_Coffee Shop=3_Tech Startup=2
Thu Sep 06 15:00:00 UTC 2012,1118,34,Professional & Other Places=6_Shops & Services=6_Travel & Transport=5,Clothing Store=2_Boat or Ferry=2_Mexican Restaurant=2
Thu Sep 06 16:00:00 UTC 2012,1308,35,Professional & Other Places=7_Outdoors & Recreation=4_Shops & Services=4,Government Building=2_Office=2_Subway=2
Thu Sep 06 17:00:00 UTC 2012,1621,57,Shops & Services=12_Professional & Other Places=7_Travel & Transport=7,Coffee Shop=3_Italian Restaurant=3_Chinese Restaurant=2
Thu Sep 06 18:00:00 UTC 2012,1638,93,Travel & Transport=14_Nightlife Spots=13_Shops & Services=11,Tech Startup=4_Hotel=4_Food Truck=4
Thu Sep 06 19:00:00 UTC 2012,1728,97,Shops & Services=25_Arts & Entertainment=13_Nightlife Spots=11,Airport=6_Performing Arts Venue=5_Grocery Store=5
Thu Sep 06 20:00:00 UTC 2012,1411,72,Shops & Services=12_Nightlife Spots=10_Arts & Entertainment=6,Italian Restaurant=3_Burger Joint=3_Home (private)=3
Thu Sep 06 21:00:00 UTC 2012,1151,64,Food=16_Nightlife Spots=11_Arts & Entertainment=7,Light Rail=4_Bar=4_Airport=4
Thu Sep 06 22:00:00 UTC 2012,727,42,Food=10_Travel & Transport=7_Residences=4,Bar=5_Home (private)=3_Nightclub=2
Thu Sep 06 23:00:00 UTC 2012,507,18,Food=5_Arts & Entertainment=3_Music Venues=2,Rock Club=2_Theater=1_Japanese Restaurant=1
Fri Sep 07 00:00:00 UTC 2012,319,14,Food=3_Nightlife Spots=3_Professional & Other Places=2,Airport=2_Lounge=1_Wine Bar=1
Fri Sep 07 01:00:00 UTC 2012,186,6,Outdoors & Recreation=2_Shops & Services=1_Travel & Transport=1,Drugstore / Pharmacy=1_Other Great Outdoors=1_Nightclub=1
Fri Sep 07 02:00:00 UTC 2012,130,3,Residences=1,Residential Building (Apartment / Condo)=1_Nightclub=1
Fri Sep 07 03:00:00 UTC 2012,134,2,Professional & Other Places=1,Convenience Store=1
Fri Sep 07 04:00:00 UTC 2012,135,6,Airports=3,Airport=1_Taxi=1_Hotel=1
Fri Sep 07 05:00:00 UTC 2012,199,10,Shops & Services=2_Food=2_Gyms or Fitness Centers=1,Diner=1_Parking=1_Home (private)=1
Fri Sep 07 06:00:00 UTC 2012,350,17,Food=3_Residences=3_Airports=2,Subway=2_Residential Building (Apartment / Condo)=2_Train Station=1
Fri Sep 07 07:00:00 UTC 2012,551,40,Food=9_Shops & Services=8_Professional & Other Places=8,Airport=6_American Restaurant=2_Tech Startup=2
Fri Sep 07 08:00:00 UTC 2012,1000,41,Food=10_Professional & Other Places=8_Shops & Services=7,Coffee Shop=4_Café=3_Office=3
Fri Sep 07 09:00:00 UTC 2012,849,50,Food=8_Offices=7_Travel & Transport=6,Office=5_Airport=3_Subway=3
Fri Sep 07 10:00:00 UTC 2012,686,37,Travel & Transport=9_Professional & Other Places=6_Outdoors & Recreation=4,Airport=2_Office=2_Coffee Shop=2
Fri Sep 07 11:00:00 UTC 2012,941,48,Shops & Services=11_Professional & Other Places=5_Travel & Transport=5,Airport=4_Coffee Shop=3_Sandwich Place=3
Fri Sep 07 12:00:00 UTC 2012,844,62,Travel & Transport=9_Shops & Services=7_Professional & Other Places=7,Mexican Restaurant=5_Deli / Bodega=4_Office=3
Fri Sep 07 13:00:00 UTC 2012,1075,63,Shops & Services=9_Travel & Transport=8_Outdoors & Recreation=5,Coffee Shop=5_Burger Joint=3_Bar=3
